user_score;publisher;title;genre;score;release
6.6;Playlogic;Age of Pirates: Caribbean Tales;Role-Playing,PC-styleRPG,PC-styleRPG;56;Sep 12, 2006
;SSI;Age of Rifles;Strategy,General;80;Aug 31, 1996
;TalonSoft;Age of Sail;Strategy,General,General;;Nov 30, 1996
;TalonSoft;Age of Sail II;Strategy,General,General;62;Feb 1, 2001
;Global Star Software;Age of Sail II: Privateer's Bounty;Strategy,Real-Time,Historic,Historic;69;Aug 13, 2002
;;Age of Survival;;;Aug 25, 2015
8.8;Gathering;Age of Wonders;Strategy,General,General;;Oct 31, 1999
8.5;Gathering;Age of Wonders II: The Wizard's Throne;Strategy,Turn-Based,Fantasy,Fantasy;86;Jun 12, 2002
7.7;;Age of Wonders III;;80;Mar 31, 2014
8.5;;Age of Wonders III - Eternal Lords;;80;Apr 14, 2015
8.6;;Age of Wonders III - Golden Realms;;82;Sep 18, 2014
